,Unnamed: 0,batsman,bowler,batsman_runs,total_runs,dismissals,balls,strike_rate,economy,bowler_strike_rate,bowler_average,metric
198,966,SR Watson,CH Morris,45.0,46.0,0.1,22.0,204.54545454545453,12.545454545454545,220.0,460.0,5.2785891409637555
199,969,CH Gayle,CH Morris,40.0,44.0,3.0,36.0,111.11111111111111,7.333333333333333,12.0,14.666666666666666,0.09142376612010938
200,972,SR Watson,PJ Cummins,9.0,10.0,0.1,8.0,112.5,7.5,80.0,100.0,0.63113565815871
201,974,CH Gayle,PJ Cummins,8.0,11.0,0.1,13.0,61.53846153846154,5.076923076923077,130.0,110.0,0.3797602592681468
202,981,Mandeep Singh,CH Morris,8.0,9.0,0.1,9.0,88.88888888888889,6.0,90.0,90.0,0.4488075791350826
203,985,SR Watson,S Nadeem,19.0,20.0,1.0,21.0,90.47619047619048,5.714285714285714,21.0,20.0,0.10151600004245909
204,990,Mandeep Singh,S Nadeem,0.0,0.0,0.1,2.0,0.0,0.0,20.0,0.0,0.0
205,993,Mandeep Singh,PJ Cummins,8.0,8.0,1.0,4.0,200.0,12.0,4.0,8.0,0.08976151582701652
206,997,KM Jadhav,PJ Cummins,4.0,5.0,0.1,6.0,66.66666666666667,5.0,60.0,50.0,0.18700315797295103
207,999,KM Jadhav,S Nadeem,5.0,5.0,0.1,7.0,71.42857142857143,4.285714285714286,70.0,50.0,0.2003605263995904
208,1004,KM Jadhav,A Mishra,35.0,35.0,0.1,15.0,233.33333333333334,14.0,150.0,350.0,4.5815773703373015
209,1006,SR Watson,A Mishra,51.0,54.0,2.0,49.0,104.08163265306122,6.612244897959184,24.5,27.0,0.1576551113441349
210,1014,STR Binny,S Nadeem,8.0,10.0,0.1,13.0,61.53846153846154,4.615384615384615,130.0,100.0,0.3452365993346789
211,1016,KM Jadhav,Z Khan,28.0,30.0,1.0,20.0,140.0,9.0,20.0,30.0,0.23562397904591836
212,1017,STR Binny,Z Khan,14.0,19.0,1.0,15.0,93.33333333333333,7.6,15.0,19.0,0.09948568004160996
213,1028,STR Binny,PJ Cummins,6.0,6.0,0.1,4.0,150.0,9.0,40.0,60.0,0.5049085265269679
214,1040,STR Binny,CR Brathwaite,7.0,8.0,0.1,7.0,100.0,6.857142857142857,70.0,80.0,0.4488075791350825
215,1042,KM Jadhav,CR Brathwaite,24.0,24.0,0.1,8.0,300.0,18.0,80.0,240.0,4.0392682122157435
216,1054,Vishnu Vinod,CR Brathwaite,2.0,2.0,0.1,2.0,100.0,6.0,20.0,20.0,0.11220189478377063
217,1060,Vishnu Vinod,Z Khan,8.0,8.0,0.1,3.0,266.6666666666667,16.0,30.0,80.0,1.1968202110268868
218,1066,Iqbal Abdulla,CH Morris,2.0,2.0,0.1,4.0,50.0,3.0,40.0,20.0,0.056100947391885314
219,1068,P Negi,CH Morris,8.0,8.0,2.0,7.0,114.28571428571429,6.857142857142857,3.5,4.0,0.0256461473791475
220,1072,P Negi,PJ Cummins,16.0,20.0,0.1,9.0,177.77777777777777,13.333333333333334,90.0,200.0,1.9947003517114785
221,1073,Iqbal Abdulla,PJ Cummins,3.0,3.0,0.1,3.0,100.0,6.0,30.0,30.0,0.16830284217565594
222,1081,TS Mills,CH Morris,0.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0
223,1084,AP Tare,B Stanlake,9.0,10.0,0.1,10.0,90.0,6.0,100.0,100.0,0.5049085265269679
224,1088,SW Billings,B Stanlake,9.0,9.0,0.1,6.0,150.0,9.0,60.0,90.0,0.7573627897904518
225,1091,SW Billings,YS Chahal,13.0,13.0,0.1,9.0,144.44444444444446,8.666666666666666,90.0,130.0,1.0534511232476245
226,1094,AP Tare,YS Chahal,2.0,2.0,0.1,2.0,100.0,6.0,20.0,20.0,0.11220189478377063
227,1103,SW Billings,Iqbal Abdulla,6.0,6.0,1.0,8.0,75.0,4.5,8.0,6.0,0.025245426326348297
228,1104,AP Tare,Iqbal Abdulla,7.0,7.0,0.1,3.0,233.33333333333334,14.0,30.0,70.0,0.9163154740674603
229,1109,SW Billings,TS Mills,1.0,1.0,0.1,1.0,100.0,6.0,10.0,10.0,0.056100947391885314
230,1110,AP Tare,TS Mills,0.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0
231,1113,KK Nair,TS Mills,4.0,4.0,0.1,2.0,200.0,12.0,20.0,40.0,0.4488075791350826
232,1117,KK Nair,B Stanlake,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
233,1118,SV Samson,B Stanlake,8.0,8.0,1.0,5.0,160.0,9.6,5.0,8.0,0.07180921266161311
234,1121,SV Samson,YS Chahal,18.0,19.0,2.0,18.0,100.0,6.333333333333333,9.0,9.5,0.05329590002229101
235,1128,SV Samson,Iqbal Abdulla,15.0,15.0,0.1,14.0,107.14285714285714,6.428571428571429,140.0,150.0,0.901622368798157
236,1131,RR Pant,Iqbal Abdulla,18.0,21.0,0.1,9.0,200.0,14.0,90.0,210.0,2.356239790459184
237,1135,RR Pant,YS Chahal,7.0,8.0,0.1,11.0,63.63636363636363,4.363636363636363,110.0,80.0,0.28560482308596163
238,1141,RR Pant,TS Mills,21.0,21.0,0.1,10.0,210.0,12.6,100.0,210.0,2.474051779982143
239,1142,SV Samson,TS Mills,1.0,1.0,0.1,1.0,100.0,6.0,10.0,10.0,0.056100947391885314
240,1147,RR Pant,B Stanlake,1.0,1.0,0.1,2.0,50.0,3.0,20.0,10.0,0.0280504736959426
241,1152,CH Morris,B Stanlake,1.0,1.0,0.1,1.0,100.0,6.0,10.0,10.0,0.056100947391885314
242,1153,CH Morris,SR Watson,14.0,14.0,0.1,10.0,140.0,8.4,100.0,140.0,1.0995785688809525
243,1154,RR Pant,SR Watson,23.0,23.0,0.1,19.0,121.05263157894737,7.2631578947368425,190.0,230.0,1.5619684826477545
244,1159,CH Morris,Iqbal Abdulla,7.0,7.0,1.0,5.0,140.0,8.4,5.0,7.0,0.0549789284440475
245,1168,CR Brathwaite,SR Watson,1.0,1.0,0.1,3.0,33.333333333333336,2.0,30.0,10.0,0.01870031579729503
246,1175,CR Brathwaite,YS Chahal,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0
247,1177,PJ Cummins,YS Chahal,0.0,0.0,0.1,1.0,0.0,0.0,10.0,0.0,0.0
248,1180,PJ Cummins,TS Mills,2.0,2.0,0.1,3.0,66.66666666666667,4.0,30.0,20.0,0.07480126318918034
249,1184,PJ Cummins,SR Watson,4.0,4.0,1.0,2.0,200.0,12.0,2.0,4.0,0.04488075791350821
250,1186,A Mishra,SR Watson,7.0,7.0,0.1,12.0,58.333333333333336,3.5,120.0,70.0,0.22907886851686504
251,1190,A Mishra,TS Mills,4.0,4.0,0.1,4.0,100.0,6.0,40.0,40.0,0.22440378956754126
252,1202,RR Pant,P Negi,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
253,1203,S Nadeem,P Negi,1.0,1.0,2.0,6.0,16.666666666666668,1.0,3.0,0.5,0.0004675078949323286
254,1205,A Mishra,P Negi,9.0,9.0,1.0,6.0,150.0,9.0,6.0,9.0,0.07573627897904511
255,1206,Z Khan,P Negi,2.0,2.0,0.1,2.0,100.0,6.0,20.0,20.0,0.11220189478377063
256,1208,JJ Roy,Bipul Sharma,13.0,13.0,0.1,9.0,144.44444444444446,8.666666666666666,90.0,130.0,1.0534511232476245
257,1211,BB McCullum,Bipul Sharma,13.0,13.0,3.0,16.0,81.25,4.875,5.333333333333333,4.333333333333333,0.01975220856089288
258,1214,JJ Roy,B Kumar,11.0,11.0,1.0,7.0,157.14285714285714,9.428571428571429,7.0,11.0,0.09697449477740172
259,1219,BB McCullum,B Kumar,29.0,32.0,1.0,41.0,70.73170731707317,4.682926829268292,41.0,32.0,0.1269797053162673
260,1226,JJ Roy,A Nehra,6.0,6.0,0.1,4.0,150.0,9.0,40.0,60.0,0.5049085265269679
261,1229,BB McCullum,A Nehra,28.0,32.0,1.0,30.0,93.33333333333333,6.4,30.0,32.0,0.1675548295437641
262,1232,JJ Roy,Rashid Khan,1.0,1.0,0.1,1.0,100.0,6.0,10.0,10.0,0.056100947391885314
263,1233,BB McCullum,Rashid Khan,2.0,2.0,1.0,4.0,50.0,3.0,4.0,2.0,0.005610094739188498
264,1237,SK Raina,Rashid Khan,3.0,3.0,1.0,6.0,50.0,3.0,6.0,3.0,0.008415142108782803
265,1240,AJ Finch,B Kumar,10.0,11.0,1.0,13.0,76.92307692307692,5.076923076923077,13.0,11.0,0.047470032408518326
266,1242,SK Raina,B Kumar,62.0,63.0,3.0,45.0,137.77777777777777,8.4,15.0,21.0,0.16231874112052153
267,1244,AJ Finch,Rashid Khan,4.0,4.0,2.0,5.0,80.0,4.8,2.5,2.0,0.008976151582701597
268,1246,KD Karthik,Rashid Khan,8.0,8.0,1.0,9.0,88.88888888888889,5.333333333333333,9.0,8.0,0.03989400703422952
269,1250,SK Raina,A Nehra,15.0,16.0,1.0,26.0,57.69230769230769,3.6923076923076925,26.0,16.0,0.05178548990020182
270,1251,KD Karthik,A Nehra,46.0,47.0,3.0,35.0,131.42857142857142,8.057142857142857,11.666666666666666,15.666666666666666,0.11551452215357721
271,1262,KD Karthik,Bipul Sharma,21.0,21.0,0.1,15.0,140.0,8.4,150.0,210.0,1.6493678533214289
272,1264,DR Smith,Bipul Sharma,4.0,4.0,0.1,6.0,66.66666666666667,4.0,60.0,40.0,0.14960252637836086
273,1268,KD Karthik,BCJ Cutting,8.0,8.0,0.1,11.0,72.72727272727273,4.363636363636363,110.0,80.0,0.32640551209824187
274,1269,DR Smith,BCJ Cutting,13.0,13.0,1.0,10.0,130.0,7.8,10.0,13.0,0.09481060109228612
275,1274,DR Smith,Rashid Khan,18.0,18.0,1.0,10.0,180.0,10.8,10.0,18.0,0.1817670695497084
276,1280,DR Smith,MC Henriques,21.0,21.0,1.0,9.0,233.33333333333334,14.0,9.0,21.0,0.2748946422202381
277,1283,KD Karthik,MC Henriques,14.0,15.0,1.0,19.0,73.6842105263158,4.7368421052631575,19.0,15.0,0.062006310275241616
278,1287,DR Smith,A Nehra,14.0,16.0,1.0,10.0,140.0,9.6,10.0,16.0,0.12566612215782302
279,1304,KD Karthik,B Kumar,27.0,28.0,0.1,29.0,93.10344827586206,5.793103448275862,290.0,280.0,1.4624936630436314
280,1305,DR Smith,B Kumar,45.0,54.0,3.0,45.0,100.0,7.2,15.0,18.0,0.10098170530539352
281,1310,DS Kulkarni,A Nehra,1.0,1.0,0.1,1.0,100.0,6.0,10.0,10.0,0.056100947391885314
282,1312,P Kumar,A Nehra,2.0,2.0,0.1,2.0,100.0,6.0,20.0,20.0,0.11220189478377063
283,1314,Basil Thampi,A Nehra,1.0,1.0,0.1,1.0,100.0,6.0,10.0,10.0,0.056100947391885314
284,1316,P Kumar,BCJ Cutting,2.0,2.0,0.1,2.0,100.0,6.0,20.0,20.0,0.11220189478377063
285,1317,Basil Thampi,BCJ Cutting,11.0,11.0,0.1,4.0,275.0,16.5,40.0,110.0,1.6970536586045313
286,1322,P Kumar,B Kumar,9.0,9.0,1.0,7.0,128.57142857142858,7.714285714285714,7.0,9.0,0.06491681055346721
287,1323,Basil Thampi,B Kumar,1.0,2.0,0.1,3.0,33.333333333333336,4.0,30.0,20.0,0.03740063159459017
288,1328,DA Warner,SK Raina,49.0,49.0,1.0,36.0,136.11111111111111,8.166666666666666,36.0,49.0,0.37416215191087965
289,1330,S Dhawan,SK Raina,28.0,31.0,1.0,30.0,93.33333333333333,6.2,30.0,31.0,0.16231874112052153
290,1334,DA Warner,P Kumar,124.0,141.0,3.0,92.0,134.7826086956522,9.195652173913043,30.666666666666668,47.0,0.3553873058694649
291,1336,S Dhawan,P Kumar,78.0,86.0,4.0,71.0,109.85915492957747,7.267605633802817,17.75,21.5,0.13250885743125584
292,1347,MC Henriques,P Kumar,28.0,28.0,1.0,15.0,186.66666666666666,11.2,15.0,28.0,0.2932209517015873
